genre,feature,target,n,p_text_to_macro,p_macro_to_text,q_text_to_macro,q_macro_to_text
statement,will_per1k,cfnai_ma3_lag2,101,0.0043,0.4536,0.0623,0.6342
statement,will_per1k,vix_pre28,101,0.0958,0.1638,0.2527,0.4048
statement,would_per1k,cfnai_ma3_lag2,100,0.5367,0.0021,0.6634,0.0231
statement,would_per1k,vix_pre28,100,0.8212,0.0046,0.8856,0.0389
statement,could_per1k,cfnai_ma3_lag2,100,0.1021,0.0,0.2558,0.0
statement,could_per1k,vix_pre28,100,0.2145,0.0021,0.392,0.0231
statement,can_per1k,cfnai_ma3_lag2,101,0.0,0.7239,0.0,0.8125
statement,can_per1k,vix_pre28,101,0.0057,0.1068,0.0627,0.3607
statement,should_per1k,cfnai_ma3_lag2,100,0.9595,0.9464,0.9773,0.9464
statement,should_per1k,vix_pre28,100,0.4466,0.4235,0.5848,0.6295
statement,may_per1k,cfnai_ma3_lag2,101,0.1618,0.8125,0.3349,0.8527
statement,may_per1k,vix_pre28,101,0.0856,0.6805,0.2488,0.7717
statement,six_per1k,cfnai_ma3_lag2,100,0.0112,0.6601,0.1027,0.7564
statement,six_per1k,vix_pre28,100,0.0868,0.0078,0.2488,0.0571
minutes,will_per1k,cfnai_ma3_lag2,99,0.4358,0.1798,0.5776,0.4048
minutes,will_per1k,vix_pre28,99,0.414,0.1017,0.5641,0.3607
minutes,would_per1k,cfnai_ma3_lag2,99,0.0393,0.2818,0.2162,0.5
minutes,would_per1k,vix_pre28,99,0.5761,0.1816,0.6742,0.4048
minutes,could_per1k,cfnai_ma3_lag2,98,0.1568,0.1113,0.3349,0.3607
minutes,could_per1k,vix_pre28,98,0.0177,0.1702,0.1391,0.4048
minutes,can_per1k,cfnai_ma3_lag2,98,0.0001,0.0363,0.0028,0.1996
minutes,can_per1k,vix_pre28,98,0.1128,0.0,0.2697,0.0
minutes,should_per1k,cfnai_ma3_lag2,99,0.5374,0.2874,0.6634,0.5018
minutes,should_per1k,vix_pre28,99,0.3184,0.1403,0.4933,0.4048
minutes,may_per1k,cfnai_ma3_lag2,99,0.2398,0.2234,0.4058,0.4472
minutes,may_per1k,vix_pre28,99,0.734,0.2315,0.8239,0.4502
minutes,six_per1k,cfnai_ma3_lag2,99,0.068,0.1661,0.2371,0.4048
minutes,six_per1k,vix_pre28,99,0.2909,0.0779,0.4706,0.3123
minutes,neg_can_per1k,cfnai_ma3_lag2,98,0.0,0.0,0.0,0.0
minutes,neg_can_per1k,vix_pre28,98,0.0294,0.154,0.1915,0.4048
minutes,neg_would_per1k,cfnai_ma3_lag2,99,0.4348,0.2949,0.5776,0.5069
minutes,neg_would_per1k,vix_pre28,99,0.163,0.4304,0.3349,0.6313
minutes,neg_will_per1k,cfnai_ma3_lag2,99,0.9774,0.8666,0.9788,0.8909
minutes,neg_will_per1k,vix_pre28,99,0.8533,0.7763,0.9025,0.8419
press_conf,will_per1k,cfnai_ma3_lag2,80,0.0882,0.4956,0.2488,0.6648
press_conf,will_per1k,vix_pre28,80,0.0011,0.0884,0.0202,0.3241
press_conf,would_per1k,cfnai_ma3_lag2,79,0.1023,0.5132,0.2558,0.672
press_conf,would_per1k,vix_pre28,79,0.0721,0.2676,0.2371,0.4826
press_conf,could_per1k,cfnai_ma3_lag2,80,0.0965,0.7492,0.2527,0.8324
press_conf,could_per1k,vix_pre28,80,0.0934,0.3509,0.2527,0.5594
press_conf,can_per1k,cfnai_ma3_lag2,79,0.0491,0.459,0.2216,0.6342
press_conf,can_per1k,vix_pre28,79,0.3368,0.1589,0.5,0.4048
press_conf,should_per1k,cfnai_ma3_lag2,79,0.5751,0.0552,0.6742,0.2429
press_conf,should_per1k,vix_pre28,79,0.3987,0.1789,0.5623,0.4048
press_conf,may_per1k,cfnai_ma3_lag2,80,0.3337,0.5854,0.5,0.7235
press_conf,may_per1k,vix_pre28,80,0.5488,0.7807,0.6634,0.8419
press_conf,six_per1k,cfnai_ma3_lag2,80,0.0776,0.309,0.2371,0.5219
press_conf,six_per1k,vix_pre28,80,0.0517,0.051,0.2216,0.2338
press_conf,neg_can_per1k,cfnai_ma3_lag2,80,0.0544,0.0034,0.2216,0.034
press_conf,neg_can_per1k,vix_pre28,80,0.176,0.046,0.352,0.2219
press_conf,neg_would_per1k,cfnai_ma3_lag2,79,0.7904,0.8139,0.8608,0.8527
press_conf,neg_would_per1k,vix_pre28,79,0.208,0.6573,0.392,0.7564
press_conf,neg_will_per1k,cfnai_ma3_lag2,80,0.0051,0.2236,0.0623,0.4472
press_conf,neg_will_per1k,vix_pre28,80,0.0002,0.0012,0.0044,0.0165
statement,novel_modal_per1k,cfnai_ma3_lag2,101,0.0296,0.4094,0.1915,0.6255
statement,novel_modal_per1k,vix_pre28,101,0.1341,0.0629,0.3026,0.2661
minutes,would+expand,cfnai_ma3_lag2,98,0.2378,0.7607,0.4058,0.8368
minutes,would+expand,vix_pre28,98,0.0524,0.1264,0.2216,0.3862
press_conf,can+do,cfnai_ma3_lag2,80,0.0453,0.2103,0.2216,0.4456
press_conf,can+do,vix_pre28,80,0.2967,0.0077,0.473,0.0571
statement,will+expand,cfnai_ma3_lag2,100,0.9788,0.8021,0.9788,0.8527
statement,will+expand,vix_pre28,100,0.4061,0.0103,0.5641,0.0666
minutes,would+be+appropriate,cfnai_ma3_lag2,99,0.2174,0.0008,0.392,0.0126
minutes,would+be+appropriate,vix_pre28,99,0.1065,0.0083,0.2603,0.0571
minutes,would+take,cfnai_ma3_lag2,99,0.3345,0.6556,0.5,0.7564
minutes,would+take,vix_pre28,99,0.591,0.0464,0.6843,0.2219
statement,will+continue,cfnai_ma3_lag2,100,0.0084,0.2591,0.084,0.4826
statement,will+continue,vix_pre28,100,0.2259,0.0117,0.3944,0.0715
minutes,will+assess,cfnai_ma3_lag2,98,0.4154,0.0194,0.5641,0.1123
minutes,will+assess,vix_pre28,98,0.2157,0.0881,0.392,0.3241
statement,will+warrant,cfnai_ma3_lag2,100,0.9209,0.9226,0.9467,0.935
statement,will+warrant,vix_pre28,100,0.1348,0.6081,0.3026,0.7432
statement,will+evolve,cfnai_ma3_lag2,100,0.8843,0.9265,0.9264,0.935
statement,will+evolve,vix_pre28,100,0.2521,0.5213,0.4202,0.6746
minutes,would+be+important,cfnai_ma3_lag2,99,0.0774,0.1435,0.2371,0.4048
minutes,would+be+important,vix_pre28,99,0.7456,0.5794,0.8284,0.7235
minutes,could+impede,cfnai_ma3_lag2,98,0.0739,0.0,0.2371,0.0
minutes,could+impede,vix_pre28,98,0.0459,0.0039,0.2216,0.0357
press_conf,will+need,cfnai_ma3_lag2,80,0.5213,0.2672,0.6591,0.4826
press_conf,will+need,vix_pre28,80,0.127,0.0001,0.2972,0.0022
minutes,would+help,cfnai_ma3_lag2,99,0.678,0.5712,0.7689,0.7222
minutes,would+help,vix_pre28,99,0.0141,0.1115,0.1193,0.3607
minutes,will+continue,cfnai_ma3_lag2,98,0.0487,0.184,0.2216,0.4048
minutes,will+continue,vix_pre28,98,0.1617,0.1658,0.3349,0.4048
press_conf,will+go,cfnai_ma3_lag2,80,0.0,0.3642,0.0,0.5723
press_conf,will+go,vix_pre28,80,0.2245,0.6309,0.3944,0.7521
minutes,would+continue,cfnai_ma3_lag2,99,0.072,0.4442,0.2371,0.6342
minutes,would+continue,vix_pre28,99,0.5473,0.0006,0.6634,0.011
press_conf,will+see,cfnai_ma3_lag2,80,0.4581,0.4624,0.5928,0.6342
press_conf,will+see,vix_pre28,80,0.852,0.1569,0.9025,0.4048
press_conf,will+take,cfnai_ma3_lag2,79,0.0353,0.6359,0.2044,0.7521
press_conf,will+take,vix_pre28,79,0.005,0.3144,0.0623,0.5219
press_conf,would+like,cfnai_ma3_lag2,80,0.5134,0.1821,0.6567,0.4048
press_conf,would+like,vix_pre28,80,0.7588,0.3465,0.8347,0.5594
press_conf,would+say,cfnai_ma3_lag2,80,0.0646,0.2613,0.2371,0.4826
press_conf,would+say,vix_pre28,80,0.2627,0.0795,0.4313,0.3123
press_conf,will+do,cfnai_ma3_lag2,79,0.0352,0.5324,0.2044,0.681
press_conf,will+do,vix_pre28,79,0.3769,0.3179,0.5384,0.5219
press_conf,will+have,cfnai_ma3_lag2,80,0.3725,0.4232,0.5384,0.6295
press_conf,will+have,vix_pre28,80,0.6757,0.8313,0.7689,0.8627
statement,will+take,cfnai_ma3_lag2,101,0.0737,0.4025,0.2371,0.6236
statement,will+take,vix_pre28,101,0.0204,0.0394,0.1496,0.2064
minutes,will+take,cfnai_ma3_lag2,99,0.5595,0.2333,0.669,0.4502
minutes,will+take,vix_pre28,99,0.1644,0.1194,0.3349,0.3753
press_conf,will+look,cfnai_ma3_lag2,80,0.3141,0.6237,0.4933,0.7521
press_conf,will+look,vix_pre28,80,0.9182,0.467,0.9467,0.6342
press_conf,will+say,cfnai_ma3_lag2,80,0.1859,0.2146,0.3652,0.4456
press_conf,will+say,vix_pre28,80,0.1955,0.2147,0.3773,0.4456
