genre,feature,target,n,b_feat,p_feat,adjR2_base,adjR2_with,d_adjR2,q_bh
minutes,would+expand,dVIX(+28d),99,-4.3594,0.0042,0.033,0.038,0.005,0.462
statement,will_per1k,CFNAI_MA3(+3m),101,0.126,0.0464,-0.01,0.117,0.127,0.5452
press_conf,will_per1k,dVIX(+28d),80,1.2993,0.0716,-0.008,0.146,0.154,0.5452
press_conf,could_per1k,CFNAI_MA3(+3m),80,0.3823,0.1055,0.047,0.077,0.031,0.5452
press_conf,could_per1k,dVIX(+28d),80,-2.8169,0.1305,-0.008,0.052,0.06,0.5452
press_conf,can_per1k,dVIX(+28d),80,0.9297,0.1096,-0.008,-0.004,0.005,0.5452
press_conf,should_per1k,CFNAI_MA3(+3m),80,0.3141,0.1037,0.047,0.054,0.007,0.5452
press_conf,may_per1k,CFNAI_MA3(+3m),80,0.3106,0.1901,0.047,0.045,-0.001,0.5452
press_conf,may_per1k,dVIX(+28d),80,-2.6815,0.1402,-0.008,0.005,0.013,0.5452
press_conf,neg_can_per1k,CFNAI_MA3(+3m),80,0.6232,0.178,0.047,0.061,0.014,0.5452
press_conf,neg_will_per1k,dVIX(+28d),80,9.0243,0.0947,-0.008,0.129,0.137,0.5452
statement,novel_modal_per1k,dVIX(+28d),101,0.5996,0.1926,-0.002,0.065,0.066,0.5452
minutes,would+expand,CFNAI_MA3(+3m),99,1.9051,0.0839,0.036,0.082,0.046,0.5452
statement,will+expand,CFNAI_MA3(+3m),101,0.1838,0.1481,-0.01,-0.001,0.009,0.5452
minutes,neg_will_per1k,dVIX(+28d),99,-7.3506,0.0185,0.033,0.024,-0.009,0.5452
statement,will+expand,dVIX(+28d),101,-0.728,0.0802,-0.002,-0.003,-0.001,0.5452
statement,will+warrant,CFNAI_MA3(+3m),101,0.176,0.0842,-0.01,-0.004,0.005,0.5452
statement,will+evolve,CFNAI_MA3(+3m),101,0.169,0.0909,-0.01,-0.005,0.004,0.5452
minutes,will+continue,CFNAI_MA3(+3m),99,-0.7225,0.2,0.036,0.036,0.0,0.5452
minutes,will+continue,dVIX(+28d),99,2.3706,0.2053,0.033,0.029,-0.004,0.5452
press_conf,will+go,dVIX(+28d),80,2.9806,0.2089,-0.008,-0.003,0.006,0.5452
minutes,would+continue,CFNAI_MA3(+3m),99,0.7443,0.1553,0.036,0.053,0.017,0.5452
press_conf,will+take,CFNAI_MA3(+3m),80,-0.5263,0.1613,0.047,0.043,-0.004,0.5452
press_conf,will+take,dVIX(+28d),80,-5.4133,0.1255,-0.008,0.008,0.017,0.5452
press_conf,will+do,dVIX(+28d),80,6.3774,0.1937,-0.008,0.031,0.039,0.5452
statement,will+take,dVIX(+28d),101,-1.4047,0.1677,-0.002,0.064,0.066,0.5452
minutes,will+take,dVIX(+28d),99,-3.6953,0.1043,0.033,0.031,-0.002,0.5452
press_conf,will+look,CFNAI_MA3(+3m),80,-0.5422,0.0894,0.047,0.047,0.001,0.5452
press_conf,will+say,dVIX(+28d),80,-5.3046,0.1415,-0.008,0.002,0.01,0.5452
minutes,would+take,CFNAI_MA3(+3m),99,-0.7133,0.1392,0.036,0.03,-0.005,0.5452
minutes,neg_would_per1k,dVIX(+28d),99,3.3579,0.2152,0.033,0.03,-0.003,0.5452
statement,novel_modal_per1k,CFNAI_MA3(+3m),101,-0.0812,0.2181,-0.01,0.025,0.035,0.5452
statement,six_per1k,dVIX(+28d),101,-0.3726,0.1945,-0.002,0.041,0.042,0.5452
minutes,would_per1k,CFNAI_MA3(+3m),99,0.1353,0.0548,0.036,0.04,0.004,0.5452
minutes,will_per1k,CFNAI_MA3(+3m),99,0.3211,0.0745,0.036,0.051,0.015,0.5452
minutes,should_per1k,dVIX(+28d),99,-2.0477,0.015,0.033,0.048,0.015,0.5452
statement,six_per1k,CFNAI_MA3(+3m),101,0.1027,0.1049,-0.01,0.108,0.118,0.5452
minutes,could_per1k,CFNAI_MA3(+3m),99,-0.2613,0.1712,0.036,0.058,0.022,0.5452
statement,may_per1k,dVIX(+28d),101,-0.6567,0.0361,-0.002,0.001,0.003,0.5452
minutes,could_per1k,dVIX(+28d),99,-0.9397,0.0569,0.033,0.045,0.012,0.5452
minutes,six_per1k,dVIX(+28d),99,-0.2511,0.1782,0.033,0.028,-0.005,0.5452
statement,can_per1k,dVIX(+28d),101,4.6794,0.201,-0.002,0.04,0.042,0.5452
statement,can_per1k,CFNAI_MA3(+3m),101,-1.0284,0.201,-0.01,0.061,0.07,0.5452
statement,should_per1k,dVIX(+28d),101,-0.5448,0.027,-0.002,-0.003,-0.002,0.5452
press_conf,six_per1k,dVIX(+28d),80,0.6075,0.2231,-0.008,0.038,0.046,0.5454
minutes,would+help,CFNAI_MA3(+3m),99,-1.4429,0.2401,0.036,0.051,0.015,0.5742
minutes,should_per1k,CFNAI_MA3(+3m),99,0.2644,0.2494,0.036,0.034,-0.002,0.5837
press_conf,will+need,CFNAI_MA3(+3m),80,-1.8782,0.3083,0.047,0.064,0.017,0.678
statement,could_per1k,dVIX(+28d),101,-0.5367,0.3167,-0.002,0.002,0.004,0.678
statement,would_per1k,dVIX(+28d),101,-0.4729,0.339,-0.002,0.0,0.002,0.678
statement,will_per1k,dVIX(+28d),101,-0.2365,0.3381,-0.002,0.003,0.005,0.678
press_conf,can+do,dVIX(+28d),80,4.6031,0.3006,-0.008,0.007,0.016,0.678
press_conf,will+continue,dVIX(+28d),80,5.4878,0.3284,-0.008,0.034,0.042,0.678
press_conf,neg_would_per1k,dVIX(+28d),80,-2.3303,0.3261,-0.008,-0.003,0.005,0.678
