event,event_date,k_months,cfnai_ma3,vix_m
may-warrant deleted / will guidance in,2015-12-16,-12,0.12,16.292272727272728
may-warrant deleted / will guidance in,2015-12-16,-11,0.02,19.1195
may-warrant deleted / will guidance in,2015-12-16,-10,-0.23,15.90421052631579
may-warrant deleted / will guidance in,2015-12-16,-9,-0.24,14.812727272727273
may-warrant deleted / will guidance in,2015-12-16,-8,-0.16,13.494761904761903
may-warrant deleted / will guidance in,2015-12-16,-7,-0.11,13.3385
may-warrant deleted / will guidance in,2015-12-16,-6,-0.16,14.339545454545457
may-warrant deleted / will guidance in,2015-12-16,-5,-0.04,14.352727272727272
may-warrant deleted / will guidance in,2015-12-16,-4,-0.02,19.42809523809524
may-warrant deleted / will guidance in,2015-12-16,-3,-0.02,24.377142857142857
may-warrant deleted / will guidance in,2015-12-16,-2,-0.22,16.789545454545454
may-warrant deleted / will guidance in,2015-12-16,-1,-0.25,16.21
may-warrant deleted / will guidance in,2015-12-16,0,-0.31,18.025454545454547
may-warrant deleted / will guidance in,2015-12-16,1,-0.19,23.717894736842105
may-warrant deleted / will guidance in,2015-12-16,2,-0.14,22.517
may-warrant deleted / will guidance in,2015-12-16,3,-0.16,15.84909090909091
may-warrant deleted / will guidance in,2015-12-16,4,-0.22,14.300476190476193
may-warrant deleted / will guidance in,2015-12-16,5,-0.26,14.85285714285714
may-warrant deleted / will guidance in,2015-12-16,6,-0.11,17.774545454545457
may-warrant deleted / will guidance in,2015-12-16,7,-0.06,13.1585
may-warrant deleted / will guidance in,2015-12-16,8,-0.02,12.399565217391304
may-warrant deleted / will guidance in,2015-12-16,9,-0.09,14.21952380952381
may-warrant deleted / will guidance in,2015-12-16,10,-0.12,14.585238095238095
may-warrant deleted / will guidance in,2015-12-16,11,-0.12,15.236190476190476
may-warrant deleted / will guidance in,2015-12-16,12,0.03,12.472380952380954
should sentence deleted,2017-06-14,-12,-0.11,17.774545454545457
should sentence deleted,2017-06-14,-11,-0.06,13.1585
should sentence deleted,2017-06-14,-10,-0.02,12.399565217391304
should sentence deleted,2017-06-14,-9,-0.09,14.21952380952381
should sentence deleted,2017-06-14,-8,-0.12,14.585238095238095
should sentence deleted,2017-06-14,-7,-0.12,15.236190476190476
should sentence deleted,2017-06-14,-6,0.03,12.472380952380954
should sentence deleted,2017-06-14,-5,0.02,11.6085
should sentence deleted,2017-06-14,-4,0.06,11.530526315789476
should sentence deleted,2017-06-14,-3,-0.06,11.89782608695652
