feature,genre,sample,macro,zero_share,total_n,n,r,p,rho,p_rho,q_bh
beComp:adjectival,minutes,full,cfnai_ma3_lag2,0.0,987,99,0.019,0.8534,0.059,0.5591,0.9597
beComp:adjectival,minutes,full,vix_pre28,0.0,987,99,0.253,0.0114,0.3,0.0026,0.0638
beComp:adjectival,minutes,excl2020,cfnai_ma3_lag2,0.0,987,91,0.038,0.72,0.05,0.6367,0.8894
beComp:adjectival,minutes,excl2020,vix_pre28,0.0,987,91,0.268,0.0102,0.264,0.0114,0.0638
beComp:nominal,minutes,full,cfnai_ma3_lag2,0.27,128,99,0.01,0.9228,0.043,0.6739,0.9781
beComp:nominal,minutes,full,vix_pre28,0.27,128,99,-0.118,0.246,-0.139,0.1709,0.557
beComp:nominal,minutes,excl2020,cfnai_ma3_lag2,0.27,128,91,0.076,0.4712,0.028,0.7914,0.7467
beComp:nominal,minutes,excl2020,vix_pre28,0.27,128,91,-0.2,0.0576,-0.193,0.0668,0.2016
beComp:prepositional,minutes,full,cfnai_ma3_lag2,0.66,44,99,0.049,0.6309,0.04,0.6968,0.8089
beComp:prepositional,minutes,full,vix_pre28,0.66,44,99,0.056,0.5824,-0.054,0.5921,0.802
beComp:prepositional,minutes,excl2020,cfnai_ma3_lag2,0.66,44,91,0.018,0.8683,0.057,0.5894,0.9597
beComp:prepositional,minutes,excl2020,vix_pre28,0.66,44,91,-0.073,0.492,-0.098,0.3548,0.7514
will+be+appropriate,minutes,full,cfnai_ma3_lag2,0.6,58,99,0.237,0.0182,0.331,0.0008,0.0849
will+be+appropriate,minutes,full,vix_pre28,0.6,58,99,0.048,0.6356,0.121,0.2329,0.8089
will+be+appropriate,minutes,excl2020,cfnai_ma3_lag2,0.6,58,91,0.202,0.055,0.257,0.014,0.2009
will+be+appropriate,minutes,excl2020,vix_pre28,0.6,58,91,0.102,0.3348,0.128,0.2253,0.6546
would+be+appropriate,minutes,full,cfnai_ma3_lag2,0.07,247,99,0.157,0.1196,0.234,0.0195,0.3799
would+be+appropriate,minutes,full,vix_pre28,0.07,247,99,0.374,0.0001,0.35,0.0004,0.0017
would+be+appropriate,minutes,excl2020,cfnai_ma3_lag2,0.07,247,91,0.228,0.0296,0.233,0.026,0.1309
would+be+appropriate,minutes,excl2020,vix_pre28,0.07,247,91,0.424,0.0,0.308,0.0029,0.0
may+be+appropriate,minutes,full,cfnai_ma3_lag2,0.83,41,99,-0.007,0.9476,-0.148,0.1445,0.9781
may+be+appropriate,minutes,full,vix_pre28,0.83,41,99,-0.072,0.4795,-0.005,0.9628,0.7467
may+be+appropriate,minutes,excl2020,cfnai_ma3_lag2,0.83,41,91,-0.153,0.1482,-0.171,0.1042,0.4016
may+be+appropriate,minutes,excl2020,vix_pre28,0.83,41,91,-0.018,0.8624,0.049,0.6471,0.9597
ANY+be+appropriate,minutes,full,cfnai_ma3_lag2,0.03,360,99,0.199,0.0481,0.186,0.0654,0.1837
ANY+be+appropriate,minutes,full,vix_pre28,0.03,360,99,0.279,0.0051,0.275,0.0059,0.0462
ANY+be+appropriate,minutes,excl2020,cfnai_ma3_lag2,0.03,360,91,0.173,0.1004,0.144,0.1742,0.3373
ANY+be+appropriate,minutes,excl2020,vix_pre28,0.03,360,91,0.373,0.0003,0.276,0.0082,0.0042
would+be+prepared,minutes,full,cfnai_ma3_lag2,0.48,97,99,0.154,0.1289,-0.088,0.3874,0.3867
would+be+prepared,minutes,full,vix_pre28,0.48,97,99,0.27,0.007,0.328,0.0009,0.0535
