feature,genre,sample,macro,zero_share,total_n,n,r,p,rho,p_rho,verdict
will/aspectual,statement,full,cfnai_ma3_lag2,0.33,126,101,-0.065,0.5201,-0.153,0.1266,WEAK
will/aspectual,statement,full,vix_pre28,0.33,126,101,0.347,0.0004,0.404,0.0,CONFIRMED
will/aspectual,statement,excl2020,cfnai_ma3_lag2,0.33,126,91,-0.067,0.5257,-0.17,0.1066,WEAK
will/aspectual,statement,excl2020,vix_pre28,0.33,126,91,0.337,0.0011,0.387,0.0001,CONFIRMED
will/mental,statement,full,cfnai_ma3_lag2,0.26,105,101,-0.348,0.0004,-0.283,0.0041,CONFIRMED
will/mental,statement,full,vix_pre28,0.26,105,101,-0.285,0.0039,-0.39,0.0001,CONFIRMED
will/mental,statement,excl2020,cfnai_ma3_lag2,0.26,105,91,-0.326,0.0016,-0.177,0.0934,CONFIRMED
will/mental,statement,excl2020,vix_pre28,0.26,105,91,-0.481,0.0,-0.448,0.0,CONFIRMED
will/policy_action,statement,full,cfnai_ma3_lag2,0.61,57,101,0.034,0.7357,0.04,0.6916,ARTIFACT
will/policy_action,statement,full,vix_pre28,0.61,57,101,-0.325,0.0009,-0.413,0.0,ARTIFACT
will/policy_action,statement,excl2020,cfnai_ma3_lag2,0.61,57,91,-0.063,0.5502,0.029,0.7825,ARTIFACT
will/policy_action,statement,excl2020,vix_pre28,0.61,57,91,-0.34,0.001,-0.389,0.0001,ARTIFACT
can/occurrence,minutes,full,cfnai_ma3_lag2,0.73,42,99,0.046,0.648,0.296,0.003,ARTIFACT
can/occurrence,minutes,full,vix_pre28,0.73,42,99,0.495,0.0,0.539,0.0,ARTIFACT
can/occurrence,minutes,excl2020,cfnai_ma3_lag2,0.73,42,91,0.428,0.0,0.322,0.0019,ARTIFACT
can/occurrence,minutes,excl2020,vix_pre28,0.73,42,91,0.566,0.0,0.49,0.0,ARTIFACT
will/mental,minutes,full,cfnai_ma3_lag2,0.24,109,99,-0.241,0.0164,-0.193,0.056,CONFIRMED
will/mental,minutes,full,vix_pre28,0.24,109,99,-0.388,0.0001,-0.467,0.0,CONFIRMED
will/mental,minutes,excl2020,cfnai_ma3_lag2,0.24,109,91,-0.223,0.0338,-0.116,0.2726,CONFIRMED
will/mental,minutes,excl2020,vix_pre28,0.24,109,91,-0.535,0.0,-0.513,0.0,CONFIRMED
will/other,minutes,full,cfnai_ma3_lag2,0.63,75,99,0.374,0.0001,0.274,0.0061,ARTIFACT
will/other,minutes,full,vix_pre28,0.63,75,99,-0.011,0.916,-0.061,0.5467,ARTIFACT
will/other,minutes,excl2020,cfnai_ma3_lag2,0.63,75,91,0.286,0.006,0.215,0.0408,ARTIFACT
will/other,minutes,excl2020,vix_pre28,0.63,75,91,-0.093,0.3798,-0.078,0.4623,ARTIFACT
will/policy_action,minutes,full,cfnai_ma3_lag2,0.54,88,99,0.029,0.7743,-0.023,0.8212,ARTIFACT
will/policy_action,minutes,full,vix_pre28,0.54,88,99,-0.304,0.0022,-0.41,0.0,ARTIFACT
will/policy_action,minutes,excl2020,cfnai_ma3_lag2,0.54,88,91,-0.059,0.5804,-0.001,0.9933,ARTIFACT
will/policy_action,minutes,excl2020,vix_pre28,0.54,88,91,-0.286,0.0059,-0.37,0.0003,ARTIFACT
would/activity,minutes,full,cfnai_ma3_lag2,0.01,380,99,-0.243,0.0153,-0.094,0.3566,ARTIFACT
would/activity,minutes,full,vix_pre28,0.01,380,99,0.426,0.0,0.372,0.0002,CONFIRMED
would/activity,minutes,excl2020,cfnai_ma3_lag2,0.01,380,91,0.058,0.5842,-0.009,0.932,ARTIFACT
would/activity,minutes,excl2020,vix_pre28,0.01,380,91,0.453,0.0,0.356,0.0005,CONFIRMED
would/copular_adj,minutes,full,cfnai_ma3_lag2,0.0,701,99,0.005,0.9577,0.154,0.1284,WEAK
would/copular_adj,minutes,full,vix_pre28,0.0,701,99,0.354,0.0003,0.378,0.0001,CONFIRMED
would/copular_adj,minutes,excl2020,cfnai_ma3_lag2,0.0,701,91,0.146,0.1687,0.141,0.1813,WEAK
would/copular_adj,minutes,excl2020,vix_pre28,0.0,701,91,0.361,0.0004,0.321,0.0019,CONFIRMED
can/activity,press_conf,full,cfnai_ma3_lag2,0.04,531,80,-0.181,0.1087,0.244,0.029,ARTIFACT
can/activity,press_conf,full,vix_pre28,0.04,531,80,0.484,0.0,0.396,0.0003,CONFIRMED
can/activity,press_conf,excl2020,cfnai_ma3_lag2,0.04,531,71,0.354,0.0024,0.299,0.0114,ARTIFACT
can/activity,press_conf,excl2020,vix_pre28,0.04,531,71,0.267,0.0242,0.256,0.031,CONFIRMED
can/other,press_conf,full,cfnai_ma3_lag2,0.03,458,80,-0.185,0.1001,-0.016,0.8909,ARTIFACT
can/other,press_conf,full,vix_pre28,0.03,458,80,0.365,0.0009,0.365,0.0009,CONFIRMED
can/other,press_conf,excl2020,cfnai_ma3_lag2,0.03,458,71,0.061,0.6149,0.059,0.6244,ARTIFACT
can/other,press_conf,excl2020,vix_pre28,0.03,458,71,0.22,0.0652,0.338,0.0039,CONFIRMED
will/activity,press_conf,full,cfnai_ma3_lag2,0.0,1024,80,0.068,0.5496,0.06,0.5963,CONFIRMED
will/activity,press_conf,full,vix_pre28,0.0,1024,80,0.37,0.0007,0.359,0.0011,CONFIRMED
will/activity,press_conf,excl2020,cfnai_ma3_lag2,0.0,1024,71,0.226,0.0579,0.063,0.6022,CONFIRMED
will/activity,press_conf,excl2020,vix_pre28,0.0,1024,71,0.261,0.0282,0.325,0.0057,CONFIRMED
can/copular_adj,speech,full,cfnai_ma3_lag2,0.77,41,124,0.035,0.7021,0.027,0.7699,ARTIFACT
can/copular_adj,speech,full,vix_pre28,0.77,41,124,0.321,0.0003,0.12,0.1841,ARTIFACT
can/copular_adj,speech,excl2020,cfnai_ma3_lag2,0.77,41,118,0.061,0.515,0.05,0.5871,ARTIFACT
can/copular_adj,speech,excl2020,vix_pre28,0.77,41,118,0.287,0.0016,0.114,0.2182,ARTIFACT
can/other,speech,full,cfnai_ma3_lag2,0.36,176,124,-0.288,0.0012,0.043,0.6376,ARTIFACT
can/other,speech,full,vix_pre28,0.36,176,124,0.18,0.0451,0.027,0.7635,ARTIFACT
can/other,speech,excl2020,cfnai_ma3_lag2,0.36,176,118,0.042,0.6538,0.101,0.2759,ARTIFACT
can/other,speech,excl2020,vix_pre28,0.36,176,118,-0.007,0.941,-0.033,0.7195,ARTIFACT
should/activity,speech,full,cfnai_ma3_lag2,0.77,41,124,0.031,0.7356,0.039,0.6689,ARTIFACT
should/activity,speech,full,vix_pre28,0.77,41,124,0.321,0.0003,-0.005,0.9547,ARTIFACT
should/activity,speech,excl2020,cfnai_ma3_lag2,0.77,41,118,0.008,0.9333,0.037,0.687,ARTIFACT
should/activity,speech,excl2020,vix_pre28,0.77,41,118,0.043,0.6446,-0.001,0.9898,ARTIFACT
will/activity,speech,full,cfnai_ma3_lag2,0.29,184,124,-0.289,0.0011,-0.209,0.0196,CONFIRMED
will/activity,speech,full,vix_pre28,0.29,184,124,0.292,0.001,0.152,0.0912,CONFIRMED
will/activity,speech,excl2020,cfnai_ma3_lag2,0.29,184,118,-0.08,0.3866,-0.19,0.0389,CONFIRMED
will/activity,speech,excl2020,vix_pre28,0.29,184,118,0.185,0.0449,0.117,0.2061,CONFIRMED
