genre,feature,target,k,n,r,p,rho,p_rho
press_conf,will_per1k,CFNAI_MA3,-9,71,0.116,0.336,0.314,0.0077
press_conf,will_per1k,CFNAI_MA3,-8,71,0.244,0.0405,0.407,0.0004
press_conf,will_per1k,CFNAI_MA3,-7,71,0.269,0.0232,0.339,0.0039
press_conf,will_per1k,CFNAI_MA3,-6,71,0.269,0.0236,0.364,0.0018
press_conf,will_per1k,CFNAI_MA3,-5,71,0.237,0.0468,0.343,0.0034
press_conf,will_per1k,CFNAI_MA3,-4,71,0.302,0.0105,0.351,0.0027
press_conf,will_per1k,CFNAI_MA3,-3,71,0.35,0.0028,0.323,0.006
press_conf,will_per1k,CFNAI_MA3,-2,71,0.312,0.0082,0.192,0.1086
press_conf,will_per1k,CFNAI_MA3,-1,71,0.335,0.0043,0.235,0.0485
press_conf,will_per1k,CFNAI_MA3,0,71,0.288,0.0147,0.217,0.0687
press_conf,will_per1k,CFNAI_MA3,1,71,0.322,0.0062,0.176,0.1428
press_conf,will_per1k,CFNAI_MA3,2,71,0.222,0.0627,0.105,0.3852
press_conf,will_per1k,CFNAI_MA3,3,71,0.136,0.2594,0.06,0.6188
press_conf,will_per1k,CFNAI_MA3,4,70,0.089,0.4657,0.097,0.4246
press_conf,will_per1k,CFNAI_MA3,5,69,0.14,0.2514,0.115,0.3481
press_conf,will_per1k,CFNAI_MA3,6,69,0.217,0.073,0.091,0.4595
press_conf,will_per1k,CFNAI_MA3,7,68,0.113,0.3596,-0.034,0.7803
press_conf,will_per1k,CFNAI_MA3,8,67,0.057,0.6471,-0.048,0.6983
press_conf,will_per1k,CFNAI_MA3,9,67,-0.127,0.3065,-0.038,0.7613
press_conf,will_per1k,VIX_M,-9,71,0.377,0.0012,0.31,0.0085
press_conf,will_per1k,VIX_M,-8,71,0.434,0.0002,0.391,0.0007
press_conf,will_per1k,VIX_M,-7,71,0.369,0.0016,0.329,0.005
press_conf,will_per1k,VIX_M,-6,71,0.366,0.0017,0.351,0.0027
press_conf,will_per1k,VIX_M,-5,71,0.367,0.0016,0.34,0.0037
press_conf,will_per1k,VIX_M,-4,71,0.435,0.0001,0.349,0.0028
press_conf,will_per1k,VIX_M,-3,71,0.34,0.0037,0.308,0.009
press_conf,will_per1k,VIX_M,-2,71,0.352,0.0026,0.382,0.001
press_conf,will_per1k,VIX_M,-1,71,0.283,0.0168,0.361,0.002
press_conf,will_per1k,VIX_M,0,71,0.375,0.0013,0.389,0.0008
press_conf,will_per1k,VIX_M,1,71,0.372,0.0014,0.385,0.0009
press_conf,will_per1k,VIX_M,2,71,0.232,0.0514,0.219,0.0671
press_conf,will_per1k,VIX_M,3,71,0.073,0.5471,0.184,0.1249
press_conf,will_per1k,VIX_M,4,70,0.135,0.2663,0.149,0.2179
press_conf,will_per1k,VIX_M,5,69,0.076,0.5353,0.295,0.0139
press_conf,will_per1k,VIX_M,6,69,0.124,0.3109,0.291,0.0152
press_conf,will_per1k,VIX_M,7,68,0.223,0.0671,0.274,0.0237
press_conf,will_per1k,VIX_M,8,67,0.291,0.0167,0.318,0.0088
press_conf,will_per1k,VIX_M,9,67,0.08,0.5205,0.12,0.332
press_conf,would_per1k,CFNAI_MA3,-9,71,0.238,0.0457,0.216,0.0698
press_conf,would_per1k,CFNAI_MA3,-8,71,0.205,0.0859,0.16,0.1829
press_conf,would_per1k,CFNAI_MA3,-7,71,0.19,0.1134,0.155,0.1963
press_conf,would_per1k,CFNAI_MA3,-6,71,-0.089,0.4624,0.008,0.945
press_conf,would_per1k,CFNAI_MA3,-5,71,-0.025,0.8331,0.097,0.4225
press_conf,would_per1k,CFNAI_MA3,-4,71,0.104,0.3903,0.17,0.1569
press_conf,would_per1k,CFNAI_MA3,-3,71,0.188,0.1169,0.233,0.0504
press_conf,would_per1k,CFNAI_MA3,-2,71,0.036,0.7668,0.098,0.4182
press_conf,would_per1k,CFNAI_MA3,-1,71,0.104,0.3899,0.052,0.6683
press_conf,would_per1k,CFNAI_MA3,0,71,0.031,0.7989,0.011,0.9285
press_conf,would_per1k,CFNAI_MA3,1,71,0.203,0.0897,0.115,0.3397
press_conf,would_per1k,CFNAI_MA3,2,71,0.216,0.0709,0.261,0.0278
press_conf,would_per1k,CFNAI_MA3,3,71,0.214,0.0735,0.24,0.0443
press_conf,would_per1k,CFNAI_MA3,4,70,0.042,0.7306,0.108,0.3742
press_conf,would_per1k,CFNAI_MA3,5,69,0.016,0.8978,0.032,0.7934
press_conf,would_per1k,CFNAI_MA3,6,69,-0.044,0.7215,0.015,0.9035
press_conf,would_per1k,CFNAI_MA3,7,68,0.091,0.4603,0.144,0.2416
