genre,feature,target,k,n,r,p,rho,p_rho,absr
minutes,will+assess,VIX_M,-7,91,-0.604,0.0,-0.489,0.0,0.604
minutes,could_per1k,CFNAI_MA3,6,89,-0.454,0.0,-0.318,0.0024,0.454
press_conf,can_per1k,VIX_M,7,68,0.454,0.0001,0.412,0.0005,0.454
press_conf,will_per1k,VIX_M,-4,71,0.435,0.0001,0.349,0.0028,0.435
statement,will_per1k,VIX_M,4,90,-0.424,0.0,-0.478,0.0,0.424
minutes,would+be+appropriate,VIX_M,0,91,0.423,0.0,0.306,0.0032,0.423
minutes,will+assess,CFNAI_MA3,-3,91,-0.415,0.0,-0.329,0.0014,0.415
minutes,could_per1k,VIX_M,5,89,0.391,0.0002,0.244,0.0215,0.391
press_conf,will_per1k,CFNAI_MA3,-3,71,0.35,0.0028,0.323,0.006,0.35
minutes,would+be+appropriate,CFNAI_MA3,-3,91,0.332,0.0013,0.307,0.0031,0.332
statement,will_per1k,CFNAI_MA3,3,91,0.286,0.006,0.251,0.0163,0.286
press_conf,would_per1k,VIX_M,8,67,-0.253,0.0387,-0.248,0.0429,0.253
press_conf,would_per1k,CFNAI_MA3,9,67,0.251,0.0406,0.183,0.1373,0.251
minutes,would_per1k,CFNAI_MA3,-7,91,0.235,0.0251,0.394,0.0001,0.235
press_conf,can_per1k,CFNAI_MA3,-6,71,0.225,0.0589,0.085,0.4808,0.225
minutes,would_per1k,VIX_M,-6,91,0.133,0.2087,0.115,0.2785,0.133
