genre,feature,target,n,p_text_to_macro,p_macro_to_text,q_text_to_macro
press_conf,will_per1k,vix_pre28,70,0.0199,0.18,0.0662
press_conf,will_per1k,cfnai_ma3_lag2,70,0.3343,0.5846,0.4114
press_conf,would_per1k,vix_pre28,70,0.0074,0.1601,0.0395
press_conf,would_per1k,cfnai_ma3_lag2,70,0.1586,0.4817,0.2406
press_conf,can_per1k,vix_pre28,71,0.0025,0.2747,0.0395
press_conf,can_per1k,cfnai_ma3_lag2,70,0.1872,0.2062,0.2496
minutes,would_per1k,vix_pre28,91,0.7841,0.382,0.7841
minutes,would_per1k,cfnai_ma3_lag2,90,0.1129,0.0655,0.2258
minutes,could_per1k,vix_pre28,90,0.0475,0.7299,0.1173
minutes,could_per1k,cfnai_ma3_lag2,90,0.0068,0.1085,0.0395
statement,will_per1k,vix_pre28,91,0.0207,0.3269,0.0662
statement,will_per1k,cfnai_ma3_lag2,90,0.154,0.0921,0.2406
minutes,would+be+appropriate,vix_pre28,91,0.1654,0.0209,0.2406
minutes,would+be+appropriate,cfnai_ma3_lag2,90,0.0513,0.3101,0.1173
minutes,will+assess,vix_pre28,90,0.6806,0.3954,0.7598
minutes,will+assess,cfnai_ma3_lag2,90,0.7123,0.2324,0.7598
