genre,feature,macro,sample,zero_share,n,r,p,rho,p_rho
minutes,can,vix_pre28,2010-2026,0.62,132,0.345,0.0001,0.354,0.0
minutes,can,vix_pre28,2010-2026_excl2020,0.62,124,0.295,0.0009,0.32,0.0003
press_conf,will,vix_pre28,2010-2026,0.0,92,0.331,0.0013,0.284,0.0061
press_conf,will,vix_pre28,2010-2026_excl2020,0.0,83,0.227,0.0387,0.269,0.014
press_conf,could,vix_pre28,2010-2026,0.0,92,-0.24,0.021,-0.28,0.007
press_conf,could,vix_pre28,2010-2026_excl2020,0.0,83,-0.29,0.0079,-0.31,0.0044
minutes,would+be+appropriate,vix_pre28,2010-2026,0.14,132,0.236,0.0065,0.219,0.0118
minutes,would+be+appropriate,vix_pre28,2010-2026_excl2020,0.14,124,0.203,0.0236,0.165,0.0667
minutes,would+expand,vix_pre28,2010-2026,0.67,132,-0.352,0.0,-0.411,0.0
minutes,would+expand,vix_pre28,2010-2026_excl2020,0.67,124,-0.38,0.0,-0.42,0.0
statement,will,vix_pre28,2010-2026,0.0,133,-0.182,0.036,-0.291,0.0007
statement,will,vix_pre28,2010-2026_excl2020,0.0,123,-0.382,0.0,-0.416,0.0
minutes,can,cfnai_ma3_lag2,2010-2026,0.62,132,-0.115,0.19,0.269,0.0018
minutes,can,cfnai_ma3_lag2,2010-2026_excl2020,0.62,124,0.311,0.0004,0.324,0.0002
