doc_id,doc_type,date,chair,speaker,n_tokens,n_sents
statement_20100127,statement,2010-01-27,Bernanke,Bernanke,564,18
statement_20100316,statement,2010-03-16,Bernanke,Bernanke,455,14
statement_20100428,statement,2010-04-28,Bernanke,Bernanke,417,13
statement_20100623,statement,2010-06-23,Bernanke,Bernanke,365,13
statement_20100810,statement,2010-08-10,Bernanke,Bernanke,470,17
statement_20100921,statement,2010-09-21,Bernanke,Bernanke,432,16
statement_20101103,statement,2010-11-03,Bernanke,Bernanke,501,20
statement_20101214,statement,2010-12-14,Bernanke,Bernanke,500,18
statement_20110126,statement,2011-01-26,Bernanke,Bernanke,443,15
statement_20110315,statement,2011-03-15,Bernanke,Bernanke,470,16
statement_20110427,statement,2011-04-27,Bernanke,Bernanke,469,16
statement_20110622,statement,2011-06-22,Bernanke,Bernanke,464,17
statement_20110809,statement,2011-08-09,Bernanke,Bernanke,530,21
statement_20110921,statement,2011-09-21,Bernanke,Bernanke,602,25
statement_20111102,statement,2011-11-02,Bernanke,Bernanke,494,18
statement_20111213,statement,2011-12-13,Bernanke,Bernanke,438,16
statement_20120125,statement,2012-01-25,Bernanke,Bernanke,427,15
statement_20120313,statement,2012-03-13,Bernanke,Bernanke,437,17
statement_20120425,statement,2012-04-25,Bernanke,Bernanke,446,18
statement_20120620,statement,2012-06-20,Bernanke,Bernanke,511,22
statement_20120801,statement,2012-08-01,Bernanke,Bernanke,465,17
statement_20120913,statement,2012-09-13,Bernanke,Bernanke,575,21
statement_20121024,statement,2012-10-24,Bernanke,Bernanke,561,19
statement_20121212,statement,2012-12-12,Bernanke,Bernanke,708,24
statement_20130130,statement,2013-01-30,Bernanke,Bernanke,666,21
statement_20130320,statement,2013-03-20,Bernanke,Bernanke,663,21
statement_20130501,statement,2013-05-01,Bernanke,Bernanke,689,22
statement_20130619,statement,2013-06-19,Bernanke,Bernanke,717,21
statement_20130731,statement,2013-07-31,Bernanke,Bernanke,720,21
statement_20130918,statement,2013-09-18,Bernanke,Bernanke,823,22
statement_20131030,statement,2013-10-30,Bernanke,Bernanke,801,23
statement_20131218,statement,2013-12-18,Bernanke,Bernanke,910,25
statement_20140129,statement,2014-01-29,Bernanke,Bernanke,873,25
statement_20140319,statement,2014-03-19,Yellen,Yellen,921,29
statement_20140430,statement,2014-04-30,Yellen,Yellen,851,27
statement_20140618,statement,2014-06-18,Yellen,Yellen,838,26
statement_20140730,statement,2014-07-30,Yellen,Yellen,893,27
statement_20140917,statement,2014-09-17,Yellen,Yellen,937,28
statement_20141029,statement,2014-10-29,Yellen,Yellen,752,26
statement_20141217,statement,2014-12-17,Yellen,Yellen,755,24
statement_20150128,statement,2015-01-28,Yellen,Yellen,584,23
statement_20150318,statement,2015-03-18,Yellen,Yellen,598,23
statement_20150429,statement,2015-04-29,Yellen,Yellen,575,21
statement_20150617,statement,2015-06-17,Yellen,Yellen,560,20
statement_20150729,statement,2015-07-29,Yellen,Yellen,553,20
statement_20150917,statement,2015-09-17,Yellen,Yellen,603,22
statement_20151028,statement,2015-10-28,Yellen,Yellen,594,21
statement_20151216,statement,2015-12-16,Yellen,Yellen,609,21
statement_20160127,statement,2016-01-27,Yellen,Yellen,568,19
statement_20160316,statement,2016-03-16,Yellen,Yellen,581,21
statement_20160427,statement,2016-04-27,Yellen,Yellen,586,21
statement_20160615,statement,2016-06-15,Yellen,Yellen,550,20
statement_20160727,statement,2016-07-27,Yellen,Yellen,576,22
statement_20160921,statement,2016-09-21,Yellen,Yellen,614,22
statement_20161102,statement,2016-11-02,Yellen,Yellen,608,22
statement_20161214,statement,2016-12-14,Yellen,Yellen,547,20
statement_20170201,statement,2017-02-01,Yellen,Yellen,509,20
statement_20170315,statement,2017-03-15,Yellen,Yellen,531,20
statement_20170503,statement,2017-05-03,Yellen,Yellen,528,21
statement_20170614,statement,2017-06-14,Yellen,Yellen,563,21
statement_20170726,statement,2017-07-26,Yellen,Yellen,517,19
statement_20170920,statement,2017-09-20,Yellen,Yellen,544,20
statement_20171101,statement,2017-11-01,Yellen,Yellen,522,20
statement_20171213,statement,2017-12-13,Yellen,Yellen,494,19
statement_20180131,statement,2018-01-31,Yellen,Yellen,427,16
statement_20180321,statement,2018-03-21,Powell,Powell,456,18
statement_20180502,statement,2018-05-02,Powell,Powell,429,17
statement_20180613,statement,2018-06-13,Powell,Powell,324,13
statement_20180801,statement,2018-08-01,Powell,Powell,312,13
statement_20180926,statement,2018-09-26,Powell,Powell,294,12
statement_20181108,statement,2018-11-08,Powell,Powell,307,12
statement_20181219,statement,2018-12-19,Powell,Powell,334,12
statement_20190130,statement,2019-01-30,Powell,Powell,334,12
statement_20190320,statement,2019-03-20,Powell,Powell,350,12
statement_20190501,statement,2019-05-01,Powell,Powell,326,12
statement_20190619,statement,2019-06-19,Powell,Powell,363,13
statement_20190731,statement,2019-07-31,Powell,Powell,412,14
statement_20190918,statement,2019-09-18,Powell,Powell,398,13
statement_20191011,statement,2019-10-11,Powell,Powell,742,18
statement_20191030,statement,2019-10-30,Powell,Powell,357,13
statement_20191211,statement,2019-12-11,Powell,Powell,316,12
statement_20200129,statement,2020-01-29,Powell,Powell,316,12
statement_20200303,statement,2020-03-03,Powell,Powell,131,6
statement_20200315,statement,2020-03-15,Powell,Powell,707,28
statement_20200323,statement,2020-03-23,Powell,Powell,621,20
statement_20200331,statement,2020-03-31,Powell,Powell,272,9
statement_20200429,statement,2020-04-29,Powell,Powell,424,14
statement_20200610,statement,2020-06-10,Powell,Powell,427,14
statement_20200729,statement,2020-07-29,Powell,Powell,448,15
statement_20200827,statement,2020-08-27,Powell,Powell,619,23
statement_20200916,statement,2020-09-16,Powell,Powell,553,17
