doc_id,doc_type,date,chair,layer,n_tokens,n_sents
statement_20100127,statement,2010-01-27,Bernanke,statement,486,17
statement_20100127,statement,2010-01-27,Bernanke,statement_vote,76,2
statement_20100316,statement,2010-03-16,Bernanke,statement,362,13
statement_20100316,statement,2010-03-16,Bernanke,statement_vote,91,2
statement_20100428,statement,2010-04-28,Bernanke,statement,312,12
statement_20100428,statement,2010-04-28,Bernanke,statement_vote,103,2
statement_20100623,statement,2010-06-23,Bernanke,statement,260,12
statement_20100623,statement,2010-06-23,Bernanke,statement_vote,103,2
statement_20100810,statement,2010-08-10,Bernanke,statement,304,12
statement_20100810,statement,2010-08-10,Bernanke,statement_vote,135,4
statement_20100921,statement,2010-09-21,Bernanke,statement,307,13
statement_20100921,statement,2010-09-21,Bernanke,statement_vote,123,4
statement_20101103,statement,2010-11-03,Bernanke,statement,402,17
statement_20101103,statement,2010-11-03,Bernanke,statement_vote,97,4
statement_20101214,statement,2010-12-14,Bernanke,statement,405,16
statement_20101214,statement,2010-12-14,Bernanke,statement_vote,93,3
statement_20110126,statement,2011-01-26,Bernanke,statement,397,15
statement_20110126,statement,2011-01-26,Bernanke,statement_vote,44,1
statement_20110315,statement,2011-03-15,Bernanke,statement,427,16
statement_20110315,statement,2011-03-15,Bernanke,statement_vote,41,1
statement_20110427,statement,2011-04-27,Bernanke,statement,426,16
statement_20110427,statement,2011-04-27,Bernanke,statement_vote,41,1
statement_20110622,statement,2011-06-22,Bernanke,statement,421,17
statement_20110622,statement,2011-06-22,Bernanke,statement_vote,41,1
statement_20110809,statement,2011-08-09,Bernanke,statement,455,20
statement_20110809,statement,2011-08-09,Bernanke,statement_vote,73,2
statement_20110921,statement,2011-09-21,Bernanke,statement,541,25
statement_20110921,statement,2011-09-21,Bernanke,statement_vote,57,2
statement_20111102,statement,2011-11-02,Bernanke,statement,440,17
statement_20111102,statement,2011-11-02,Bernanke,statement_vote,54,2
statement_20111213,statement,2011-12-13,Bernanke,statement,384,15
statement_20111213,statement,2011-12-13,Bernanke,statement_vote,54,2
statement_20120125,statement,2012-01-25,Bernanke,statement,355,14
statement_20120125,statement,2012-01-25,Bernanke,statement_vote,72,2
statement_20120313,statement,2012-03-13,Bernanke,statement,369,16
statement_20120313,statement,2012-03-13,Bernanke,statement_vote,68,2
statement_20120425,statement,2012-04-25,Bernanke,statement,378,17
statement_20120425,statement,2012-04-25,Bernanke,statement_vote,68,2
statement_20120620,statement,2012-06-20,Bernanke,statement,449,22
statement_20120620,statement,2012-06-20,Bernanke,statement_vote,60,2
statement_20120801,statement,2012-08-01,Bernanke,statement,386,16
statement_20120801,statement,2012-08-01,Bernanke,statement_vote,79,2
statement_20120913,statement,2012-09-13,Bernanke,statement,493,20
statement_20120913,statement,2012-09-13,Bernanke,statement_vote,82,2
statement_20121024,statement,2012-10-24,Bernanke,statement,469,19
statement_20121024,statement,2012-10-24,Bernanke,statement_vote,92,2
statement_20121212,statement,2012-12-12,Bernanke,statement,630,23
statement_20121212,statement,2012-12-12,Bernanke,statement_vote,78,2
statement_20130130,statement,2013-01-30,Bernanke,statement,582,20
statement_20130130,statement,2013-01-30,Bernanke,statement_vote,84,2
statement_20130320,statement,2013-03-20,Bernanke,statement,579,20
statement_20130320,statement,2013-03-20,Bernanke,statement_vote,84,2
statement_20130501,statement,2013-05-01,Bernanke,statement,605,21
