doc_id,doc_type,date,cfnai_lag2,cfnai_ma3_lag2,cfnai_ma3_lag1,vix_pre28,vix_intermeeting,unrate_gap_lag1,corepce_gap_lag2,cfnai_ma3_lead1,cfnai_ma3_lead3,cfnai_ma3_lead6,vix_post28,d_cfnai_ma3_3m,d_vix_28
statement_20100127,statement,2010-01-27,0.06,-0.15,-0.17,20.131666666666668,20.23148148148148,4.85921476296861,-0.6265235583045241,-0.16,0.18,0.09,23.00052631578947,0.32999999999999996,2.868859649122804
statement_20100316,statement,2010-03-16,0.16,-0.02,-0.16,19.3505,21.24121212121212,4.76325890255012,-0.30909628820465596,0.18,0.18,-0.06,16.920526315789473,0.19999999999999998,-2.429973684210527
statement_20100428,statement,2010-04-28,-0.35,-0.16,0.1,16.943684210526317,17.059333333333335,4.86325890255012,-0.3013461888302631,0.39,0.09,-0.15,30.866500000000002,0.25,13.922815789473685
statement_20100623,statement,2010-06-23,0.41,0.18,0.39,30.109473684210528,30.140256410256416,4.56826198731979,-0.3970253143032103,0.09,-0.06,-0.07,27.732105263157898,-0.24,-2.37736842105263
statement_20100810,statement,2010-08-10,-0.17,0.18,0.09,23.7555,25.834848484848486,4.3742842128497905,-0.44442936012309797,-0.06,-0.16,-0.09,25.336842105263155,-0.33999999999999997,1.581342105263154
statement_20100921,statement,2010-09-21,0.15,0.09,-0.06,23.662105263157898,24.20413793103448,4.47428421284979,-0.5294117647058876,-0.15,-0.07,0.02,21.366,-0.16,-2.296105263157898
statement_20101103,statement,2010-11-03,-0.19,-0.06,-0.15,20.1725,21.089354838709685,4.381376122174831,-0.7031716523012692,-0.07,-0.09,-0.14,20.021578947368422,-0.03,-0.15092105263157762
statement_20101214,statement,2010-12-14,-0.12,-0.15,-0.16,19.573684210526316,19.411785714285713,4.781376122174831,-0.9212186524774717,-0.03,0.02,-0.27,17.104210526315786,0.16999999999999998,-2.4694736842105307
statement_20110126,statement,2011-01-26,-0.19,-0.16,-0.07,17.184210526315788,17.08827586206896,4.281376122174831,-0.8784208165096379,-0.09,-0.15,-0.06,17.263157894736842,0.010000000000000009,0.07894736842105488
statement_20110315,statement,2011-03-15,0.02,-0.03,-0.09,19.531052631578945,18.384545454545453,3.98957744654573,-0.8765553665741592,-0.15,-0.27,-0.03,19.3435,-0.24000000000000002,-0.18755263157894575
statement_20110427,statement,2011-04-27,-0.38,-0.09,0.02,16.611052631578946,18.454666666666665,3.98957744654573,-0.7880956107595631,-0.14,-0.06,-0.03,16.8495,0.03,0.23844736842105263
statement_20110622,statement,2011-06-22,-0.48,-0.15,-0.14,18.60684210526316,17.661538461538463,3.9989160952288705,-0.6052998605299935,-0.06,-0.03,0.03,18.517368421052627,0.12,-0.0894736842105317
statement_20110809,statement,2011-08-09,0.01,-0.27,-0.06,23.474,21.226363636363633,4.00940731748662,-0.4136709481212346,-0.03,-0.15,0.21,36.30842105263159,0.12000000000000002,12.834421052631587
statement_20110921,statement,2011-09-21,0.17,-0.06,0.06,34.50736842105263,35.65933333333333,4.00940731748662,-0.2655482404839242,-0.03,0.03,-0.01,36.7115,0.09,2.2041315789473686
statement_20111102,statement,2011-11-02,-0.27,-0.03,-0.03,31.895500000000006,34.79033333333334,3.8210530567678322,-0.14917803038731847,0.03,0.21,-0.17,31.751052631578947,0.24,-0.14444736842105854
statement_20111213,statement,2011-12-13,0.16,-0.03,-0.15,30.38684210526316,30.650714285714283,3.621053056767831,-0.25527803382827496,0.1,-0.01,-0.14,22.635555555555552,0.019999999999999997,-7.751286549707608
statement_20120125,statement,2012-01-25,-0.35,-0.15,0.03,21.104444444444443,21.932142857142853,3.5210530567678315,-0.17213842058560846,0.21,-0.11,-0.26,18.718947368421052,0.039999999999999994,-2.385497076023391
statement_20120313,statement,2012-03-13,0.37,0.1,0.21,18.209999999999997,18.36060606060606,3.3338415135847406,0.06147921922719135,-0.11,-0.14,-0.28,15.856842105263157,-0.24000000000000002,-2.3531578947368406
statement_20120425,statement,2012-04-25,0.0,0.21,-0.01,17.70421052631579,16.74566666666667,3.233841513584739,0.025847785264556222,-0.17,-0.26,-0.28,19.961,-0.47,2.256789473684208
statement_20120620,statement,2012-06-20,0.06,-0.11,-0.17,22.465263157894736,21.039743589743587,3.2477469296249692,-0.03466299862448885,-0.26,-0.28,0.05,18.00315789473684,-0.17000000000000004,-4.462105263157895
statement_20120801,statement,2012-08-01,-0.33,-0.14,-0.26,17.653157894736843,17.95310344827586,3.2627296014266793,-0.18074152054478976,-0.28,-0.03,0.01,15.330000000000002,0.11000000000000001,-2.323157894736841
statement_20120913,statement,2012-09-13,-0.28,-0.26,-0.35,15.916842105263163,15.835000000000003,3.1627296014266797,-0.2261349451415855,-0.28,0.05,-0.12,15.0935,0.31,-0.823342105263162
statement_20121024,statement,2012-10-24,-0.45,-0.35,-0.28,15.815999999999997,15.350344827586206,2.86272960142668,-0.36407745770860966,-0.03,0.03,-0.11,17.348333333333333,0.38,1.5323333333333355
statement_20121212,statement,2012-12-12,-0.26,-0.28,-0.03,16.066842105263156,16.810000000000002,2.7787361275186306,-0.11055078918069494,0.03,-0.12,-0.1,16.675555555555558,0.16000000000000003,0.6087134502924023
statement_20130130,statement,2013-01-30,0.28,-0.03,0.05,13.42157894736842,15.213437500000001,2.978736127518631,-0.2169309864064255,0.01,-0.11,-0.17,14.007894736842108,-0.08,0.5863157894736872
statement_20130320,statement,2013-03-20,-0.33,0.03,0.01,13.910500000000003,13.647647058823528,2.7956998883873103,-0.4084132921342114,-0.11,-0.1,-0.04,13.617368421052632,-0.13,-0.29313157894737074
statement_20130501,statement,2013-05-01,-0.26,-0.12,-0.11,14.045999999999998,13.78862068965517,2.71354175407503,-0.5192550880340523,-0.1,-0.12,0.14,13.238947368421053,0.0,-0.8070526315789444
statement_20130619,statement,2013-06-19,-0.29,-0.11,-0.13,15.889999999999999,14.61029411764706,2.6135417540750305,-0.6229373738681803,-0.17,-0.04,0.05,16.10421052631579,0.07,0.21421052631579052
statement_20130731,statement,2013-07-31,0.14,-0.13,-0.1,13.746315789473684,15.156206896551724,2.6135417540750305,-0.6070831761091116,-0.12,0.14,-0.18,13.940000000000001,0.27,0.19368421052631746
statement_20130918,statement,2013-09-18,-0.52,-0.17,-0.12,15.378947368421052,14.456470588235293,2.3321710097311,-0.5120392485959728,0.14,0.05,0.08,16.116999999999997,0.22000000000000003,0.7380526315789453
statement_20131030,statement,2013-10-30,0.3,-0.12,-0.04,15.572,15.179,2.3321710097311,-0.46674909951078636,0.14,-0.18,0.32,12.926499999999999,-0.06,-2.6455
statement_20131218,statement,2013-12-18,0.01,0.14,0.14,14.17421052631579,13.664411764705882,2.051486485126752,-0.5451818522684597,-0.18,0.08,0.1,13.09611111111111,-0.06000000000000001,-1.0780994152046794
statement_20140129,statement,2014-01-29,0.3,0.14,0.05,13.667222222222222,13.531111111111112,1.8514864851267516,-0.4857402750280775,-0.14,0.32,0.19,15.873157894736844,0.18,2.205935672514622
statement_20140319,statement,2014-03-19,-0.7,-0.18,-0.14,14.762,15.498823529411766,1.8713778700934718,-0.5475384993010017,0.32,0.1,0.03,14.654499999999999,0.28,-0.1075000000000017
statement_20140430,statement,2014-04-30,0.44,-0.14,0.08,14.29736842105263,14.35655172413793,1.8713778700934718,-0.6098822024412458,0.22,0.19,-0.06,12.579473684210527,0.33,-1.7178947368421031
statement_20140618,statement,2014-06-18,0.05,0.32,0.22,11.715263157894737,12.250588235294115,1.4917271941382602,-0.4287341516122627,0.19,0.03,0.12,11.438421052631579,-0.29000000000000004,-0.27684210526315844
statement_20140730,statement,2014-07-30,0.12,0.22,0.1,12.057368421052631,11.775172413793102,1.29172719413826,-0.37634374302210993,0.07,-0.06,0.02,13.812499999999996,-0.28,1.7551315789473652
statement_20140917,statement,2014-09-17,0.3,0.19,0.07,12.394210526315788,13.380882352941178,1.3124104452052192,-0.3896786778191146,-0.06,0.12,-0.24,16.884,-0.07,4.489789473684212
